"","seqid","source","type","start","end","strand","phase","sample","cluster_id","nearest_mibig","mibig_class","dice","score","partial_cluster"
"6196","NZ_MQTZ01000045.1","SanntiSv0.9.1","CLUSTER","165722","176427",NA,NA,"GCF_001939115.1_ASM193911v1_genomic_sanntis.gff","NZ_MQTZ01000045.1_sanntis_1","BGC0000581","RiPP","0.724","0.460","partial=00"
"7182","NZ_MQTZ01000049.1","SanntiSv0.9.1","CLUSTER","91959","111734",NA,NA,"GCF_001939115.1_ASM193911v1_genomic_sanntis.gff","NZ_MQTZ01000049.1_sanntis_1","BGC0000784","Saccharide","0.528","0.470","partial=00"
"8170","NZ_MQTZ01000050.1","SanntiSv0.9.1","CLUSTER","52525","66152",NA,NA,"GCF_001939115.1_ASM193911v1_genomic_sanntis.gff","NZ_MQTZ01000050.1_sanntis_1","BGC0002005","RiPP","0.511","0.480","partial=00"
"9157","NZ_MQTZ01000057.1","SanntiSv0.9.1","CLUSTER","36377","39393",NA,NA,"GCF_001939115.1_ASM193911v1_genomic_sanntis.gff","NZ_MQTZ01000057.1_sanntis_1","BGC0000217","Polyketide","0.643","0.390","partial=00"
"10141","NZ_MQTZ01000060.1","SanntiSv0.9.1","CLUSTER","30877","48091",NA,NA,"GCF_001939115.1_ASM193911v1_genomic_sanntis.gff","NZ_MQTZ01000060.1_sanntis_1","BGC0000763","Saccharide","0.700","0.634","partial=00"
"1875","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","23611","45993",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_1","BGC0002005","RiPP","0.333","0.770","partial=00"
"2389","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","142613","154981",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_2","BGC0000426","NRP","0.545","0.810","partial=00"
"3286","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","240019","255607",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_3","BGC0001632","RiPP","0.750","0.510","partial=00"
"4241","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","295472","317044",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_4","BGC0000389","NRP","0.469","0.850","partial=00"
"5210","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","543972","560446",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_5","BGC0001085","NRP Terpene","0.591","0.670","partial=00"
"6197","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","820274","837975",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_6","BGC0000426","NRP","0.429","0.800","partial=00"
"7183","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","1092263","1155389",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_7","BGC0000353","NRP","0.542","0.890","partial=00"
"8171","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","1618404","1648130",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_8","BGC0001163","Polyketide","0.452","0.860","partial=00"
"9158","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","1794563","1814269",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_9","BGC0001341","NRP","0.600","0.710","partial=00"
"10142","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","2311552","2327766",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_10","BGC0000773","Saccharide","0.569","0.420","partial=00"
"11189","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","2628607","2650674",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_11","BGC0001380","Saccharide","0.703","0.440","partial=00"
"12161","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","2981801","3000547",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_12","BGC0002005","RiPP","0.500","0.880","partial=00"
"13144","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","3056462","3105888",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_13","BGC0000962","NRP Polyketide","0.217","0.940","partial=00"
"14136","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","3349310","3363528",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_14","BGC0000675","Terpene","0.714","0.740","partial=00"
"15126","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","3540485","3547746",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_15","BGC0002036","Other","0.673","0.490","partial=00"
"16112","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","3675064","3686846",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_16","BGC0000701","Saccharide","0.727","0.390","partial=00"
"17104","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","3726296","3753562",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_17","BGC0000787","Saccharide","0.627","0.410","partial=00"
"1876","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","3828339","3882646",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_18","BGC0000051","Polyketide","0.528","0.870","partial=00"
"1971","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","4294983","4311656",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_19","BGC0000675","Terpene","0.750","0.650","partial=00"
"2057","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","4403919","4420135",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_20","BGC0001356","RiPP","0.438","0.890","partial=00"
"21123","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","4502088","4543287",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_21","BGC0000426","NRP","0.418","0.850","partial=00"
"22108","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","4628032","4649213",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_22","BGC0000773","Saccharide","0.600","0.670","partial=00"
"2390","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","4856044","4870619",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_23","BGC0001361","Terpene","0.622","0.400","partial=00"
"2445","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","5377406","5395712",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_24","BGC0001947","Saccharide","0.724","0.450","partial=00"
"2540","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","5655627","5670544",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_25","BGC0000663","Terpene","0.770","0.500","partial=00"
"2636","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","6044299","6050956",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_26","BGC0000594","RiPP","0.429","0.870","partial=00"
"2734","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","6177108","6201128",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_27","BGC0002036","Other","0.735","0.580","partial=00"
"2831","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","6523789","6548108",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_28","BGC0001469","NRP","0.500","0.740","partial=00"
"2929","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","6584214","6666364",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_29","BGC0001165","NRP Polyketide","0.268","0.960","partial=00"
"3020","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","6722947","6741551",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_30","BGC0001163","Polyketide","0.419","0.990","partial=00"
"31107","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","7268768","7287305",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_31","BGC0001632","RiPP","0.576","0.700","partial=00"
"3287","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","7375165","7421308",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_32","BGC0001780","NRP","0.519","0.930","partial=00"
"3323","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","7549413","7604468",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_33","BGC0001356","RiPP","0.667","0.470","partial=00"
"3423","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","7871001","7891018",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_34","BGC0000568","RiPP","0.722","0.430","partial=00"
"3522","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","7948890","7968456",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_35","BGC0001576","RiPP","0.542","0.900","partial=00"
"3621","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","8063017","8088340",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_36","BGC0000467","NRP","0.408","0.890","partial=00"
"3718","NZ_MKZR01000001.1","SanntiSv0.9.1","CLUSTER","8153950","8168441",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000001.1_sanntis_37","BGC0001627","NRP","0.538","0.780","partial=00"
"3818","NZ_MKZR01000008.1","SanntiSv0.9.1","CLUSTER","1","7509",NA,NA,"GCF_001942475.1_ASM194247v1_genomic_sanntis.gff","NZ_MKZR01000008.1_sanntis_1","BGC0000855","Other","0.538","0.570","partial=11"
"1877","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","121912","126712",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_1","BGC0000623","RiPP","0.412","0.700","partial=00"
"2391","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","357998","370384",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_2","BGC0001610","Other","0.774","0.500","partial=00"
"3288","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","489198","517035",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_3","BGC0002005","RiPP","0.532","0.740","partial=00"
"4242","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","591712","622473",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_4","BGC0001959","Other","0.692","0.610","partial=00"
"5211","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","727674","743614",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_5","BGC0001469","NRP","0.553","0.680","partial=00"
"6198","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","842370","870950",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_6","BGC0000426","NRP","0.536","0.910","partial=00"
"7184","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","888067","895522",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_7","BGC0000568","RiPP","0.583","0.460","partial=00"
"8172","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","1024136","1039827",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_8","BGC0001184","Other","0.561","0.400","partial=00"
"9159","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","1109090","1155873",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_9","BGC0001560","NRP Polyketide","0.580","0.790","partial=00"
"10143","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","1588443","1615283",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_10","BGC0000501","RiPP","0.548","0.732","partial=00"
"11190","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","2062235","2078134",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_11","BGC0000855","Other","0.697","0.570","partial=00"
"12162","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","2243211","2342300",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_12","BGC0001000","NRP Polyketide","0.556","0.890","partial=00"
"13145","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","2403075","2412328",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_13","BGC0001168","NRP","0.474","0.800","partial=00"
"14137","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","2476188","2513184",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_14","BGC0001149","NRP Saccharide","0.577","0.750","partial=00"
"15127","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","2795169","2820806",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_15","BGC0000072","Polyketide","0.660","0.500","partial=00"
"16113","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","2956384","2973080",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_16","BGC0001135","NRP","0.581","0.890","partial=00"
"17105","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","3086419","3109637",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_17","BGC0001229","RiPP","0.512","0.690","partial=00"
"1878","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","3189979","3230447",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_18","BGC0000962","NRP Polyketide","0.653","0.700","partial=00"
"1972","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","3381886","3387488",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_19","BGC0001174","RiPP","0.524","0.677","partial=00"
"2058","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","3500378","3508539",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_20","BGC0001493","RiPP","0.286","0.940","partial=00"
"21124","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","3953701","3965362",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_21","BGC0000427","NRP","0.714","0.510","partial=00"
"22109","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","4007812","4030959",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_22","BGC0000868","Other","0.590","0.410","partial=00"
"2392","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","4072351","4125167",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_23","BGC0000976","NRP Polyketide","0.398","0.970","partial=00"
"2446","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","4350786","4383940",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_24","BGC0001161","Polyketide","0.450","0.880","partial=00"
"2541","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","4583240","4605024",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_25","BGC0000731","Saccharide","0.622","0.570","partial=00"
"2637","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","4704411","4730115",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_26","BGC0000636","Terpene","0.787","0.660","partial=00"
"2735","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","4777056","4797438",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_27","BGC0001356","RiPP","0.561","0.600","partial=00"
"2832","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","4973166","5000698",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_28","BGC0000773","Saccharide","0.622","0.580","partial=00"
"2930","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","5330931","5378043",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_29","BGC0000467","NRP","0.532","0.960","partial=00"
"3021","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","5430798","5454036",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_30","BGC0001224","Other","0.804","0.590","partial=00"
"31108","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","5693491","5722949",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_31","BGC0000772","Saccharide","0.608","0.410","partial=00"
"3289","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","5734267","5743411",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_32","BGC0000754","Saccharide","0.750","0.500","partial=00"
"3324","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","6354902","6381091",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_33","BGC0000644","Terpene","0.759","0.490","partial=00"
"3424","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","6400778","6431004",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_34","BGC0001212","NRP Polyketide","0.630","0.730","partial=00"
"3523","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","6862765","6900583",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_35","BGC0001001","NRP Polyketide","0.397","1.000","partial=00"
"3622","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","7589907","7628620",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_36","BGC0000426","NRP","0.533","0.770","partial=00"
"3719","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","7758739","7786388",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_37","BGC0002005","RiPP","0.673","0.710","partial=00"
"3819","NZ_MKZS01000001.1","SanntiSv0.9.1","CLUSTER","8184683","8199234",NA,NA,"GCF_001942495.1_ASM194249v1_genomic_sanntis.gff","NZ_MKZS01000001.1_sanntis_38","BGC0000477","RiPP","0.581","0.660","partial=00"
"1879","NZ_CP018344.1","SanntiSv0.9.1","CLUSTER","95310","136784",NA,NA,"GCF_001989415.1_ASM198941v1_genomic_sanntis.gff","NZ_CP018344.1_sanntis_1","BGC0001947","Saccharide","0.627","0.690","partial=00"
"2393","NZ_CP018344.1","SanntiSv0.9.1","CLUSTER","1649373","1653334",NA,NA,"GCF_001989415.1_ASM198941v1_genomic_sanntis.gff","NZ_CP018344.1_sanntis_2","BGC0002005","RiPP","0.267","0.770","partial=00"
"1880","NZ_CP018345.1","SanntiSv0.9.1","CLUSTER","123680","160738",NA,NA,"GCF_001989435.1_ASM198943v1_genomic_sanntis.gff","NZ_CP018345.1_sanntis_1","BGC0001947","Saccharide","0.627","0.690","partial=00"
"1881","NZ_CP018346.1","SanntiSv0.9.1","CLUSTER","1279518","1315786",NA,NA,"GCF_001989455.1_ASM198945v1_genomic_sanntis.gff","NZ_CP018346.1_sanntis_1","BGC0000868","Other","0.594","0.690","partial=00"
"1882","N/A","N/A","N/A","N/A","N/A","N/A","N/A","GCF_002018015.1_ASM201801v1_genomic_sanntis.gff","N/A",NA,NA,NA,NA,NA
"1883","NZ_MVGR01000001.1","SanntiSv0.9.1","CLUSTER","362349","397356",NA,NA,"GCF_002025445.1_KWv02_genomic_sanntis.gff","NZ_MVGR01000001.1_sanntis_1","BGC0000298","NRP","0.271","0.930","partial=00"
"2394","NZ_MVGR01000002.1","SanntiSv0.9.1","CLUSTER","1","42014",NA,NA,"GCF_002025445.1_KWv02_genomic_sanntis.gff","NZ_MVGR01000002.1_sanntis_1","BGC0001378","Polyketide","0.511","0.870","partial=10"
"3290","NZ_MVGR01000003.1","SanntiSv0.9.1","CLUSTER","446203","462302",NA,NA,"GCF_002025445.1_KWv02_genomic_sanntis.gff","NZ_MVGR01000003.1_sanntis_1","BGC0000438","NRP","0.568","0.780","partial=00"
"4243","NZ_MVGR01000003.1","SanntiSv0.9.1","CLUSTER","706476","722190",NA,NA,"GCF_002025445.1_KWv02_genomic_sanntis.gff","NZ_MVGR01000003.1_sanntis_2","BGC0002005","RiPP","0.617","0.530","partial=00"
"5212","NZ_MVGR01000003.1","SanntiSv0.9.1","CLUSTER","1075624","1128501",NA,NA,"GCF_002025445.1_KWv02_genomic_sanntis.gff","NZ_MVGR01000003.1_sanntis_3","BGC0000331","NRP","0.538","0.800","partial=00"
"6199","NZ_MVGR01000004.1","SanntiSv0.9.1","CLUSTER","364007","384591",NA,NA,"GCF_002025445.1_KWv02_genomic_sanntis.gff","NZ_MVGR01000004.1_sanntis_1","BGC0000731","Saccharide","0.577","0.530","partial=00"
"7185","NZ_MVGR01000004.1","SanntiSv0.9.1","CLUSTER","458433","496000",NA,NA,"GCF_002025445.1_KWv02_genomic_sanntis.gff","NZ_MVGR01000004.1_sanntis_2","BGC0000051","Polyketide","0.542","0.840","partial=00"
"8173","NZ_MVGR01000004.1","SanntiSv0.9.1","CLUSTER","602718","613717",NA,NA,"GCF_002025445.1_KWv02_genomic_sanntis.gff","NZ_MVGR01000004.1_sanntis_3","BGC0000592","RiPP","0.351","0.890","partial=00"
"9160","NZ_MVGR01000004.1","SanntiSv0.9.1","CLUSTER","918744","932133",NA,NA,"GCF_002025445.1_KWv02_genomic_sanntis.gff","NZ_MVGR01000004.1_sanntis_4","BGC0000427","NRP","0.659","0.620","partial=00"
"10144","NZ_MVGR01000004.1","SanntiSv0.9.1","CLUSTER","1030156","1053953",NA,NA,"GCF_002025445.1_KWv02_genomic_sanntis.gff","NZ_MVGR01000004.1_sanntis_5","BGC0001917","Polyketide","0.733","0.660","partial=00"
"11191","NZ_MVGR01000004.1","SanntiSv0.9.1","CLUSTER","1540501","1544070",NA,NA,"GCF_002025445.1_KWv02_genomic_sanntis.gff","NZ_MVGR01000004.1_sanntis_6","BGC0001174","RiPP","0.545","0.663","partial=00"
"12163","NZ_MVGR01000004.1","SanntiSv0.9.1","CLUSTER","1847031","1865665",NA,NA,"GCF_002025445.1_KWv02_genomic_sanntis.gff","NZ_MVGR01000004.1_sanntis_7","BGC0001151","Other","0.737","0.500","partial=00"
"13146","NZ_MVGR01000005.1","SanntiSv0.9.1","CLUSTER","35133","62280",NA,NA,"GCF_002025445.1_KWv02_genomic_sanntis.gff","NZ_MVGR01000005.1_sanntis_1","BGC0002005","RiPP","0.633","0.410","partial=00"
"14138","NZ_MVGR01000005.1","SanntiSv0.9.1","CLUSTER","93877","152935",NA,NA,"GCF_002025445.1_KWv02_genomic_sanntis.gff","NZ_MVGR01000005.1_sanntis_2","BGC0001560","NRP Polyketide","0.565","0.920","partial=00"
"15128","NZ_MVGR01000005.1","SanntiSv0.9.1","CLUSTER","506133","533141",NA,NA,"GCF_002025445.1_KWv02_genomic_sanntis.gff","NZ_MVGR01000005.1_sanntis_3","BGC0001212","NRP Polyketide","0.630","0.920","partial=00"
"16114","NZ_MVGR01000005.1","SanntiSv0.9.1","CLUSTER","1027599","1031017",NA,NA,"GCF_002025445.1_KWv02_genomic_sanntis.gff","NZ_MVGR01000005.1_sanntis_4","BGC0000660","Terpene","0.455","0.870","partial=00"
"17106","NZ_MVGR01000005.1","SanntiSv0.9.1","CLUSTER","1104930","1108926",NA,NA,"GCF_002025445.1_KWv02_genomic_sanntis.gff","NZ_MVGR01000005.1_sanntis_5","BGC0001745","RiPP","0.810","0.390","partial=00"
"1884","NZ_MVGR01000005.1","SanntiSv0.9.1","CLUSTER","1275864","1297782",NA,NA,"GCF_002025445.1_KWv02_genomic_sanntis.gff","NZ_MVGR01000005.1_sanntis_6","BGC0000072","Polyketide","0.500","0.830","partial=00"
"1973","NZ_MVGR01000005.1","SanntiSv0.9.1","CLUSTER","1357449","1370954",NA,NA,"GCF_002025445.1_KWv02_genomic_sanntis.gff","NZ_MVGR01000005.1_sanntis_7","BGC0000663","Terpene","0.768","0.440","partial=00"
"2059","NZ_MVGR01000006.1","SanntiSv0.9.1","CLUSTER","194441","206397",NA,NA,"GCF_002025445.1_KWv02_genomic_sanntis.gff","NZ_MVGR01000006.1_sanntis_1","BGC0002005","RiPP","0.450","0.640","partial=00"
"21125","NZ_MVGR01000006.1","SanntiSv0.9.1","CLUSTER","208780","216937",NA,NA,"GCF_002025445.1_KWv02_genomic_sanntis.gff","NZ_MVGR01000006.1_sanntis_2","BGC0001745","RiPP","0.600","0.430","partial=00"
"22110","NZ_MVGR01000006.1","SanntiSv0.9.1","CLUSTER","293779","358380",NA,NA,"GCF_002025445.1_KWv02_genomic_sanntis.gff","NZ_MVGR01000006.1_sanntis_3","BGC0001017","NRP Polyketide","0.207","0.960","partial=00"
"1885","NZ_MTPU01000012.1","SanntiSv0.9.1","CLUSTER","6429","39592",NA,NA,"GCF_002027345.1_ASM202734v1_genomic_sanntis.gff","NZ_MTPU01000012.1_sanntis_1","BGC0001651","Other","0.489","0.480","partial=00"
