accession,genus_species,genus,isolation_source_host_focus,isolation_source,symbiosis_type,host_identity,habitat_classification,family,order
GCF_000760015.1_ASM76001v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000760035.1_ASM76003v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000760055.1_ASM76005v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000760075.1_ASM76007v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000760095.1_ASM76009v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000760115.1_ASM76011v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000760155.1_ASM76015v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000760175.1_ASM76017v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000760195.1_ASM76019v1_genomic,Prochlorococcus sp.,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000760215.1_ASM76021v1_genomic,Prochlorococcus sp.,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000760235.1_ASM76023v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000760255.1_ASM76025v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000760275.1_ASM76027v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000760295.1_ASM76029v1_genomic,Prochlorococcus sp.,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000760315.1_ASM76031v1_genomic,Prochlorococcus sp.,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000760335.1_ASM76033v1_genomic,Prochlorococcus sp.,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000760355.1_ASM76035v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000760375.1_ASM76037v1_genomic,Prochlorococcus sp.,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000763385.1_ASM76338v1_genomic,Leptolyngbya sp.,Leptolyngbya,Aquatic,Pond,Free-living,Aquatic,Aquatic,Leptolyngbyaceae,Synechococcales
GCF_000787675.1_ASM78767v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_000789435.1_ASM78943v1_genomic,Aphanizomenon flos-aquae,Aphanizomenon,Aquatic,Lagoon,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_000817325.1_ASM81732v1_genomic,Synechococcus elongatus,Synechococcus,Aquatic,Creek,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000817775.3_ASM81777v3_genomic,Lyngbya confervoides,Lyngbya,Aquatic,Marine,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_000952155.1_asmbly001_genomic,Aliterella atlantic,Aliterella,Aquatic,Seawater,Free-living,Aquatic,Aquatic,Aliterellaceae,Chroococcidiopsidales
GCF_000972705.2_ASM97270v2_genomic,Limnoraphis robusta,Limnoraphis,Aquatic,Brackish water,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_000981785.2_ASM98178v2_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_001039265.1_ASM103926v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Lake,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001039555.1_WH8502_v1_genomic,Crocosphaera watsonii,Crocosphaera,Aquatic,Marine,Free-living,Aquatic,Aquatic,Aphanothecaceae,Chroococcales
GCF_001039615.1_WH0401_v1_genomic,Crocosphaera watsonii,Crocosphaera,Aquatic,Marine,Free-living,Aquatic,Aquatic,Aphanothecaceae,Chroococcales
GCF_001039635.1_WH0402_v1_genomic,Crocosphaera watsonii,Crocosphaera,Aquatic,Marine,Free-living,Aquatic,Aquatic,Aphanothecaceae,Chroococcales
GCF_001040845.1_ASM104084v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001050835.1_ASM105083v1_genomic,Crocosphaera watsonii,Crocosphaera,Aquatic,Marine,Free-living,Aquatic,Aquatic,Aphanothecaceae,Chroococcales
GCF_001180245.1_CLC_assembled_contigs_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Seawater,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001180265.1_CLC_assembled_contigs_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Seawater,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001180305.1_CLC_assembled_contigs_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Seawater,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001180325.1_CLC_assembled_contigs_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Seawater,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001275395.1_ASM127539v1_genomic,Hapalosiphon sp.,Hapalosiphon,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_001276715.1_ASM127671v1_genomic,Planktothricoides sp.,Planktothricoides,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Microcoleaceae,Oscillatoriales
GCF_001277295.1_ASM127729v1_genomic,Anabaena sp.,Anabaena,Aquatic,Lake,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_001318385.1_ASM131838v1_genomic,Synechocystis sp.,Synechocystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Merismopediaceae,Synechococcales
GCF_001402795.1_ASM140279v1_genomic,Pseudanabaena sp.,Pseudanabaena,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Pseudanabaenaceae,Synechococcales
GCF_001432185.1_ASM143218v1_genomic,Cylindrospermopsis sp.,Cylindrospermopsis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_001456025.1_ASM145602v1_genomic,Mastigocoleus testarum,Mastigocladopsis,Aquatic,Marine Shell,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_001521855.1_ASM152185v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Seawater,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001548095.1_Gm3709_assembly_1.0_genomic,Geminocystis sp.,Geminocystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Geminocystaceae,Chroococcales
GCF_001548115.1_Gm3709_assembly_1.0_genomic,Geminocystis sp.,Geminocystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Geminocystaceae,Chroococcales
GCF_001548455.1_ASM154845v1_genomic,Fischerella sp.,Fischerella,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_001578075.1_ASM157807v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_001586755.1_ASM158675v1_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Reservoir,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_001586785.1_ASM158678v2_genomic,Sphaerospermopsis aphanizomenoides,Sphaerospermopsis,Aquatic,Reservoir,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_001597745.1_ASM159774v1_genomic,Anabaena sp.,Anabaena,Aquatic,Estuary,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_001597855.1_ASM159785v1_genomic,Anabaena sp.,Anabaena,Aquatic,Estuary,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_001623485.1_ASM162348v1_genomic,Nodularia spumigena,Nodularia,Aquatic,Pond,Free-living,Aquatic,Aquatic,Nodulariaceae,Nostocales
GCF_001631935.1_ASM163193v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001631965.1_ASM163196v1_genomic,Prochlorococcus sp.,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001631985.1_ASM163198v1_genomic,Prochlorococcus sp.,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001632005.1_ASM163200v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001632025.1_ASM163202v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001632045.1_ASM163204v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001632065.1_ASM163206v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001632075.1_ASM163207v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001632105.1_ASM163210v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001632125.1_ASM163212v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001632145.1_ASM163214v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001632165.1_ASM163216v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001676585.1_ASM167658v1_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_001693275.1_ASM169327v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Pond,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001693295.1_ASM169329v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Water,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001704955.2_ASM170495v2_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_001725075.1_ASM172507v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_001746915.1_ASM174691v1_genomic,Desertifilum sp.,Desertifilum,Aquatic,Lake,Free-living,Aquatic,Aquatic,Desertifilaceae,Oscillatoriales
GCF_001747005.1_ASM174700v1_genomic,Cyanobacterium sp.,Cyanobacterium,Aquatic,Lake,Free-living,Aquatic,Aquatic,Geminocystaceae,Chroococcales
GCF_001767235.1_ASM176723v1_genomic,Moorena producens,Moorena,Aquatic,Tropical Water,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_001854205.1_ASM185420v1_genomic,Moorena producens,Moorena,Aquatic,Tropical Water,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_001858025.1_ASM185802v1_genomic,Trichormus sp.,Trichormus,Aquatic,Saline lake,Free-living,Aquatic,Aquatic,Nostocaceae,Nostocales
GCF_001858115.1_ASM185811v1_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_001858125.1_ASM185812v1_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_001870225.1_ASM187022v1_genomic,Gloeomargarita lithopora,Gloeomargarita,Aquatic,Lake,Free-living,Aquatic,Aquatic,Gloeomargaritaceae,Gloeomargaritales
GCF_001870905.1_ASM187090v1_genomic,Geitlerinema sp.,Geitlerinema,Aquatic,Saline water,Free-living,Aquatic,Aquatic,Coleofasciculaceae,Oscillatoriales
GCF_001885215.1_ASM188521v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Saline lake,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001885655.1_ASM188565v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_001890765.1_ASM189076v1_genomic,Spirulina major,Spirulina,Aquatic,Brackish water,Free-living,Aquatic,Aquatic,Spirulinaceae,Spirulinales
GCF_001895325.1_ASM189532v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_001895925.1_ASM189592v1_genomic,Phormidesmis priestleyi,Phormidesmis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Leptolyngbyaceae,Synechococcales
GCF_001904615.1_ASM190461v1_genomic,Limnothrix rosea,Limnothrix,Aquatic,Marine,Free-living,Aquatic,Aquatic,Pseudanabaenaceae,Synechococcales
GCF_001904635.1_ASM190463v1_genomic,Hydrococcus rivularis,Hydrococcus,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Hydrococcaceae,Pleurocapsales
GCF_001904645.1_ASM190464v1_genomic,Fischerella major,Fischerella,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_001904655.1_ASM190465v1_genomic,Chroogloeocystis siderophila,Chroogloeocystis,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Chroococcaceae,Chroococcales
GCF_001904725.1_ASM190472v1_genomic,Phormidium ambiguum,Phormidium,Aquatic,Water,Free-living,Aquatic,Aquatic,Phormidiaceae,Oscillatoriales
GCF_001904775.1_ASM190477v1_genomic,Phormidium tenue,Phormidium,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Phormidiaceae,Oscillatoriales
GCF_001939115.1_ASM193911v1_genomic,Leptolyngbya sp. Hensonni,Leptolyngbya,Aquatic,Pinnacle Mat,Free-living,Aquatic,Aquatic,Leptolyngbyaceae,Synechococcales
GCF_001942475.1_ASM194247v1_genomic,Moorena producens,Moorena,Aquatic,Marine,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_001942495.1_ASM194249v1_genomic,Moorena bouillonii,Moorena,Aquatic,Tropical Water,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_001989415.1_ASM198941v1_genomic,Prochlorococcus sp.,Prochlorococcus,Aquatic,Red sea,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001989435.1_ASM198943v1_genomic,Prochlorococcus sp.,Prochlorococcus,Aquatic,Red sea,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_001989455.1_ASM198945v1_genomic,Prochlorococcus sp.,Prochlorococcus,Aquatic,Red sea,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_002025445.1_KWv02_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Reservoir,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_002027345.1_ASM202734v1_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_002075285.3_ASM207528v3_genomic,Halomicronema hongdechloris,Halomicronema,Aquatic,Stromatolite,Free-living,Aquatic,Aquatic,Leptolyngbyaceae,Synechococcales
GCF_002095975.1_ASM209597v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_002114155.1_ASM211415v1_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_002218065.1_ASM221806v1_genomic,Nodularia sp.,Nodularia,Aquatic,Marine,Free-living,Aquatic,Aquatic,Nodulariaceae,Nostocales
GCF_002251945.1_ASM225194v1_genomic,Pseudanabaena sp.,Pseudanabaena,Aquatic,River,Free-living,Aquatic,Aquatic,Pseudanabaenaceae,Synechococcales
GCF_002252625.1_ASM225262v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Lake,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_002252635.1_ASM225263v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Lake,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_002252665.1_ASM225266v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Lake,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_002252705.1_ASM225270v1_genomic,Vulcanococcus limneticus,Vulcanococcus,Aquatic,Lake,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_002260545.1_ASM226054v1_genomic,Hydrocoleum sp.,Hydrocoleum,Aquatic,Coastal,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_002286735.1_ASM228673v1_genomic,Leptolyngbya sp.,Leptolyngbya,Aquatic,Lake,Free-living,Aquatic,Aquatic,Leptolyngbyaceae,Synechococcales
GCF_002289455.1_ASM228945v1_genomic,Calothrix elsteri,Calothrix,Aquatic,Littoral zone,Free-living,Aquatic,Aquatic,Calotrichaceae,Nostocales
GCF_002356215.1_ASM235621v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Seawater,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_002368075.1_ASM236807v1_genomic,Sphaerospermopsis kisseleviana,Sphaerospermopsis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_002368095.1_ASM236809v1_genomic,Calothrix parasitica,Calothrix,Aquatic,Marin,Free-living,Aquatic,Aquatic,Calotrichaceae,Nostocales
GCF_002368115.1_ASM236811v1_genomic,Dolichospermum compactum,Dolichospermum,Aquatic,Lake,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_002368335.1_ASM236833v1_genomic,Nostoc sp. NIES-4103,Nostoc,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Nostocaceae,Nostocales
GCF_002368395.1_ASM236839v1_genomic,Calothrix sp.,Calothrix,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Calotrichaceae,Nostocales
GCF_002412335.2_ASM241233v2_genomic,Tychonema bourrellyi,Tychonema,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Microcoleaceae,Oscillatoriales
GCF_002736005.1_ASM273600v1_genomic,Cyanobacterium aponinum,Cyanobacterium,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Geminocystaceae,Chroococcales
GCF_002742025.1_ASM274202v1_genomic,Limnothrix sp.,Limnothrix,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Pseudanabaenaceae,Synechococcales
GCF_002754935.1_ASM275493v1_genomic,Thermostichus lividus,Thermostichus,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Thermostichaceae,Thermostichales
GCF_002760345.1_ASM276034v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_002760375.1_ASM276037v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_002760395.1_ASM276039v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_002760415.1_ASM276041v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_002760445.1_ASM276044v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_002760475.1_ASM276047v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_002812945.1_ASM281294v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_002870185.1_ASM287018v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Stream,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870195.1_ASM287019v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Stream,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870205.1_ASM287020v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Stream,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870255.1_ASM287025v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Stream,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870265.1_ASM287026v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Stream,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870305.1_ASM287030v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Stream,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870325.1_ASM287032v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Stream,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870345.1_ASM287034v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Stream,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870365.1_ASM287036v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Stream,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870385.1_ASM287038v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Stream,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870405.1_ASM287040v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Stream,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870415.1_ASM287041v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Stream,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870445.1_ASM287044v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Stream,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870465.1_ASM287046v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Stream,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870475.1_ASM287047v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Stream,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870505.1_ASM287050v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Stream,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870525.1_ASM287052v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Stream,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870545.1_ASM287054v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Stream,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870565.1_ASM287056v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870615.1_ASM287061v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870635.1_ASM287063v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870665.1_ASM287066v1_genomic,Fischerella muscicola,Fischerella,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870675.1_ASM287067v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870705.1_ASM287070v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870725.1_ASM287072v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870755.1_ASM287075v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002870795.1_ASM287079v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Hotspring,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_002893125.1_ASM289312v1_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_002893145.1_ASM289314v1_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_002893155.1_ASM289315v1_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_002893185.1_ASM289318v1_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_002893205.1_ASM289320v1_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_002893215.1_ASM289321v1_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_002893245.1_ASM289324v1_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
